id;NIF;ano_dados_financeiros;VN ;Result_Financeiro ;Result_Operacional ;RL;Custos_Pessoal ;IRC ;AI ;AFT ;Dep_e_Caixa ;Nome_empresa;Forma_juridica;Num_Empregados;Nome_auditora;Atrativa(100);cod_atrativa(5);cod_atrativa(nome);Seletiva(100);cod_seletiva(5);cod_seletiva(nome);Tax_recomend(100);cod_tax_recomend(5);cod_tax_recomend(nome);Avaliacao(5);cod_Avaliacao(5);cod_Avaliacao(nome);Media_Salarial_min;Media_Salarial_max;tempo_medio_entrevistas_h;horas_trabalhadas;equilibrio_trabalho_pessoal(100);cod_equilibrio_trabalho_pessoal(5);cod_equilibrio_trabalho_pessoal(nome);N_Seguidores_LinkedIn;Vagas_jun_LinkedIn;Vaga_estagio;Vaga_assistente;Vaga_ti;Ano_redes_sociais
1;502064200;2018;32408;-168;7484;5 416;14132;1899;103;1770;3603;ASSECO PST PORTUGAL  BUSINESS e SOFTWARE SOLUTIONS ;SA;347;KRESTON e ASSOCIADOS  ;0;1;fugir;100;5;fugir;42;3;intermédio;2,5;3;intermédio;1866;2066;;8,25;50;3;intermédio;7801257;26;467;2484;4280;2020
2;501551557;2018;26705;-1784;-3832;-4 801;9541;-815;1874;95;100;TECHINFOR ;SA;572;BDO;0;0;na;0;0;intermédio;33;2;pouco ;2,1;2;pouco ;1933;2133;1,12;7,45;79;4;bom;23350;8;1;2;12;2020
3;503412031;2018;11422;-1090;-545;-1 566;4898;-69;14744;2767;211;CLARANET PORTUGAL ;SA;128;BDO;100;5;excelente;80;4;excelente;100;5;excelente;2,2;2;pouco ;800;1000;1,15;;75;4;bom;14784;3;0;0;3;2020
4;503882887;2018;60614;-166;5585;4 479;30031;940;1145;847;1312;ROFF  CONSULTORES INDEPENDENTES ;SA;831;AUREN;66;4;bom;66;4;na;0;1;fugir;1,3;1;fugir;900;1100;1,03;;62;4;bom;6592;23;0;40;42;2020
5;505350173;2018;34372;-554;5172;5 113;14911;-494;3334;3201;1459;VISION BOX  SOLUÇÕES DE VISÃO POR COMPUTADOR ;SA;290;EY;50;3;intermédio;50;3;bom;80;4;bom;3,3;3;intermédio;1140;1340;;;85;5;excelente;5401;36;0;46;61;2020
6;505128985;2018;36617;-604;1869;987;23325;279;1264;544;991;NOESIS PORTUGAL  CONSULTADORIA EM SISTEMAS INFORMÁTICOS ;SA;734;AmavelCalhaueAssociados;42;3;intermédio;61;4;intermédio;63;4;bom;2,5;3;intermédio;1287;1487;1,32;7,58;50;3;intermédio;66932;3;0;0;5;2020
7;500366039;2018;8442;-259;346;442;4455;-354;2933;189;43;RUMOS SERVIÇOS ;SA;187;OLIVEIRAREISeASSOCIADOS;100;5;excelente;100;5;excelente;100;5;excelente;3,4;3;intermédio;0;0;;;75;4;bom;4583;0;0;12;10;2020
8;508453488;2018;8953;-61;901;766;4279;75;599;494;66;INNOWAVE TECHNOLOGIES ;SA;138;CARLOS TEIXEIRA NOE GOMES e ASSOCIADO ;70;4;bom;50;3;na;0;0;na;0;0;na;0;0;;;0;0;na;4422;30;0;4;33;2020
9;510480209;2018;7049;-38;2963;2 202;4517;723;4800;124;1930;VTXRM  SOFTWARE FACTORY ;LDA;107;JOAO CRUZ  SAJ  ;75;4;bom;50;3;excelente;0;0;na;0;0;fugir;0;0;;;0;0;na;4828;1;0;0;0;2020
10;507246152;2018;7256;-56;106;-4;4555;55;2492;118;270;CLOSER  CONSULTORIA ;LDA;168;;25;2;pouco ;100;5;na;0;0;na;0;0;na;0;0;;;0;0;na;4878725;100;16;46;483;2020
