id_matriculados;id_curso;codigo_universidade;codigo_curso;ano_matriculados;Total_matriculados;18anos;19anos;20anos;21anos;22anos;23anos;24anos;nome_curso;ano_desempregados;n_diplomados;taxa_desemprego
9005;9005;900;5;2017;1095;148;144;144;162;140;118;78;Engenharia Informática;2018;172;2
10005;10005;1000;5;2017;825;149;146;127;130;100;53;27;Engenharia Informática;2018;171;0,9
10007;10007;1000;7;2017;154;33;25;22;22;6;15;8;Engenharia de Telecomunicações e Informática;2018;37;2,7
40042;40042;400;42;2017;93;9;21;17;18;7;7;5;Informática Web;2018;4;
150079;150079;1500;79;2017;284;42;39;47;48;33;25;18;Tecnologias de Informação;2018;93;0
311052;311052;3110;52;2017;338;42;64;59;29;29;24;18;Engenharia Informática e Multimédia;2018;79;5,7
313071;313071;3130;71;2017;99;15;23;19;12;11;7;5;Tecnologias e Sistemas de Informação para a Web;2018;9;
1009384;1009384;100;9384;2017;105;3;8;11;13;17;13;8;Informática - Redes e Multimédia;2018;;
2009119;2009119;200;9119;2017;226;44;36;47;24;21;19;10;Engenharia Informática;2018;84;1,2
2009250;2009250;200;9250;2017;13;0;0;0;0;1;5;1;Tecnologias de Informação e Comunicação;2018;;
2800119;2800119;2800;119;2017;13;4;3;1;1;0;0;0;Engenharia Informática, Redes e Telecomunicações;2018;0;
3008016;3008016;300;8016;2017;101;12;7;14;16;10;7;4;Tecnologias da Informação;2018;48;1
3009119;3009119;300;9119;2017;211;50;44;34;17;17;7;7;Engenharia Informática;2018;74;0
3009215;3009215;300;9215;2017;253;37;45;54;44;12;22;7;Novas Tecnologias da Comunicação;2018;219;6,4
3110119;3110119;3110;119;2017;55;20;17;13;3;0;1;0;Engenharia Informática, Redes e Telecomunicações;2018;0;
3240143;3240143;3240;143;2017;24;1;1;1;1;3;1;3;Informática e Tecnologias Multimédia;2018;40;2,5
4009119;4009119;400;9119;2017;314;45;52;60;54;36;24;6;Engenharia Informática;2018;126;1,6
4009251;4009251;400;9251;2017;4;0;0;0;0;1;0;1;Tecnologias e Sistemas de Informação;2018;;
4580137;4580137;4580;137;2017;17;0;1;4;6;2;1;2;Tecnologias de Informação, Web e Multimédia;2018;0;
5009119;5009119;500;9119;2017;520;104;112;112;66;43;19;12;Engenharia Informática;2018;313;1,1
6009119;6009119;600;9119;2017;205;30;37;38;27;18;10;10;Engenharia Informática;2018;55;2,7
9008259;9008259;900;8259;2017;162;28;40;25;22;7;15;10;Sistemas e Tecnologias de Informação;2018;75;0,7
11009459;11009459;1100;9459;2017;774;116;138;123;130;109;48;27;Engenharia Informática e Computação;2018;379;0,9
12009119;12009119;1200;9119;2017;243;48;47;47;28;17;15;7;Engenharia Informática;2018;133;4,1
12009250;12009250;1200;9250;2017;79;12;15;12;17;7;2;4;Tecnologias de Informação e Comunicação;2018;52;2,9
