id_programas;NIF;programas;ano_programas
1;509834370;cloud;2020
2;509834370;java;2020
3;501573704;net;2020
4;501573704;java;2020
5;510303811;ios;2020
6;510303811;net;2020
7;506176142;javascript;2020
8;506176142;java;2020
9;503222364;javascript;2020
10;503222364;java;2020
11;513418210;java;2020
12;513418210;csharp;2020
13;980566797;prolog;2020
14;980566797;java;2020
15;508069491;php;2020
16;508069491;javascript;2020
17;510148301;javascript;2020
18;503502537;java;2020
19;503502537;csharp;2020
20;504857312;net;2020
21;504857312;sql;2020
22;508966752;net;2020
23;508966752;linux;2020
24;508966752;vmware;2020
25;508966752;javascript;2020
26;503541320;java;2020
27;503541320;csharp;2020
28;505205939;javascript;2020
29;505205939;java;2020
30;508823617;azure;2020
31;508823617;php;2020
32;502479418;java;2020
33;502479418;csharp;2020
34;504705610;outsystems;2020
35;504705610;java;2020
36;507291727;net;2020
37;507291727;java;2020
38;510728189;webapp;2020
39;501774360;net;2020
40;501774360;sql;2020
41;505107546;javascript;2020
42;505107546;java;2020
43;504079190;net;2020
44;504079190;sql;2020
45;505089971;java;2020
46;505089971;sql;2020
47;500068801;unix;2020
48;500068801;linux;2020
49;500074372;video;2020
50;500074372;ios;2020
51;502829257;project management;2020
52;502829257;excel;2020
53;506204650;outsystems;2020
54;506204650;java;2020
55;510830536;java;2020
56;510830536;sql;2020
57;501551557;oracle;2020
58;501551557;java;2020
59;506396010;php;2020
60;506396010;java;2020
61;505116812;oracle;2020
62;505116812;java;2020
63;505128985;outsystems;2020
64;505128985;java;2020
65;503882887;sap;2020
66;503882887;linux;2020
67;502443855;sap;2020
68;502443855;java;2020
69;504272179;net;2020
70;504272179;java;2020
71;506360237;oracle;2020
72;506360237;linux;2020
73;513945342;cplus;2020
74;513945342;scripting;2020
75;504551221;net;2020
76;504551221;java;2020
77;503412031;azure;2020
78;503412031;python;2020
79;504150014;net;2020
80;507117336;database;2020
81;507117336;sql;2020
82;500366039;java;2020
83;500366039;tomcat;2020
84;508453488;webapp;2020
85;508453488;java;2020
86;502980826;javascript;2020
87;502980826;java;2020
88;513435344;java;2020
89;513435344;sql;2020
90;510480209;csharp;2020
91;510480209;sql;2020
92;510852254;javascript;2020
93;510852254;python;2020
94;503470120;unix;2020
95;503470120;sql;2020
96;510722920;database;2020
97;507246152;csharp;2020
98;507246152;sql;2020
99;508123585;outsystems;2020
100;508123585;net;2020
101;513199560;net;2020
102;513199560;java;2020
103;507969332;net;2020
104;507969332;javascript;2020
105;513214399;javascript;2020
106;513214399;java;2020
107;507678672;erp;2020
108;507678672;sql;2020
109;510070833;angularjs;2020
110;510070833;mysql;2020
111;509255310;linux;2020
112;509255310;cplus;2020
113;509364730;javascript;2020
114;509364730;java;2020
115;507107381;javascript;2020
116;507107381;java;2020
117;513063145;java;2020
118;513063145;sql;2020
119;501854371;net;2020
120;501854371;sql-server;2020
121;510336973;javascript;2020
122;510336973;java;2020
123;514139927;outsystems;2020
124;514139927;java;2020
125;504825917;javascript;2020
126;504825917;java;2020
127;513266488;gwt;2020
128;513266488;java;2020
