id_localizacao;id_matriculados;distrito;localidade;sede_nif;cod_universitario;estabelecimento;publico;privado;universitario;politecnico;id_inscritos
1;3009119;Aveiro;Aveiro;504705610;300;Universidade de Aveiro;Publico;; ;Politecnico;3009119
2;3009119;Aveiro;Aveiro;504825917;300;Universidade de Aveiro;Publico;; ;Politecnico;3009119
3;3009119;Aveiro;Ílhavo;513266488;300;Universidade de Aveiro;Publico;; ;Politecnico;3009119
4;10005;Braga;Barral;507107381;1000;Universidade do Minho;Publico;;Universitario;;10005
5;10005;Braga;Braga;501854371;1000;Universidade do Minho;Publico;;Universitario;;10005
6;13009119;Funchal;Funchal;502064200;1300;Universidade da Madeira;Publico;;Universitario;;13009119
7;13009119;Funchal;Funchal;510336973;1300;Universidade da Madeira;Publico;;Universitario;;13009119
8;31009119;Leiria;Leiria;501968326;3100;Instituto Politécnico de Leiria;Publico;; ;Politecnico;31009119
9;9005;Lisboa;Amadora;501551557;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
10;9005;Lisboa;Amadora;503222364;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
11;9005;Lisboa;Amadora;506176142;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
12;9005;Lisboa;Carnaxide;505350173;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
13;9005;Lisboa;Carnaxide;510728189;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
14;9005;Lisboa;Linhó;502479418;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
15;9005;Lisboa;Linhó;503502537;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
16;9005;Lisboa;Linhó;503541320;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
17;9005;Lisboa;Lisboa;500068801;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
18;9005;Lisboa;Lisboa;500074372;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
19;9005;Lisboa;Lisboa;500366039;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
20;9005;Lisboa;Lisboa;501774360;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
21;9005;Lisboa;Lisboa;502443855;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
22;9005;Lisboa;Lisboa;502829257;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
23;9005;Lisboa;Lisboa;502980826;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
24;9005;Lisboa;Lisboa;503412031;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
25;9005;Lisboa;Lisboa;503470120;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
26;9005;Lisboa;Lisboa;504079190;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
27;9005;Lisboa;Lisboa;504150014;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
28;9005;Lisboa;Lisboa;504272179;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
29;9005;Lisboa;Lisboa;504551221;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
30;9005;Lisboa;Lisboa;504857312;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
31;9005;Lisboa;Lisboa;505107546;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
32;9005;Lisboa;Lisboa;505116812;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
33;9005;Lisboa;Lisboa;505128985;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
34;9005;Lisboa;Lisboa;505205939;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
35;9005;Lisboa;Lisboa;505377691;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
36;9005;Lisboa;Lisboa;506204650;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
37;9005;Lisboa;Lisboa;506360237;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
38;9005;Lisboa;Lisboa;506396010;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
39;9005;Lisboa;Lisboa;507117336;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
40;9005;Lisboa;Lisboa;507246152;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
41;9005;Lisboa;Lisboa;507431073;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
42;9005;Lisboa;Lisboa;507969332;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
43;9005;Lisboa;Lisboa;508069491;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
44;9005;Lisboa;Lisboa;508123585;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
45;9005;Lisboa;Lisboa;508202531;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
46;9005;Lisboa;Lisboa;508453488;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
47;9005;Lisboa;Lisboa;508823617;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
48;9005;Lisboa;Lisboa;508966752;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
49;9005;Lisboa;Lisboa;509364730;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
50;9005;Lisboa;Lisboa;510070833;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
51;9005;Lisboa;Lisboa;510303811;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
52;9005;Lisboa;Lisboa;510722920;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
53;9005;Lisboa;Lisboa;510830536;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
54;9005;Lisboa;Lisboa;510852254;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
55;9005;Lisboa;Lisboa;513063145;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
56;9005;Lisboa;Lisboa;513418210;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
57;9005;Lisboa;Lisboa;514139927;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
58;9005;Lisboa;Lisboa;980540488;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
59;9005;Lisboa;Lisboa;980595304;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
60;9005;Lisboa;Miraflores;503882887;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
61;9005;Lisboa;Miraflores;507678672;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
62;9005;Lisboa;Odivelas;505187299;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
63;9005;Lisboa;Pontinha;503670693;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
64;9005;Lisboa;Porto Salvo;502186771;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
65;9005;Lisboa;Porto Salvo;504727060;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
66;9005;Lisboa;Porto Salvo;504761013;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
67;9005;Lisboa;Porto Salvo;510480209;900;Universidade Nova de Lisboa;Publico;;Universitario;;9005
68;43508286;Lisboa;Amadora;501551557;4350;Universidade Europeia; ;Privado;Universitario;;43508286
69;43508286;Lisboa;Amadora;503222364;4350;Universidade Europeia; ;Privado;Universitario;;43508286
70;43508286;Lisboa;Amadora;506176142;4350;Universidade Europeia; ;Privado;Universitario;;43508286
71;43508286;Lisboa;Carnaxide;505350173;4350;Universidade Europeia; ;Privado;Universitario;;43508286
72;43508286;Lisboa;Carnaxide;510728189;4350;Universidade Europeia; ;Privado;Universitario;;43508286
73;43508286;Lisboa;Linhó;502479418;4350;Universidade Europeia; ;Privado;Universitario;;43508286
74;43508286;Lisboa;Linhó;503502537;4350;Universidade Europeia; ;Privado;Universitario;;43508286
75;43508286;Lisboa;Linhó;503541320;4350;Universidade Europeia; ;Privado;Universitario;;43508286
