id_matriculados;codigo_estabelecimento;codigo_curso;numero_Matriculados;ano_matriculados;cod
1;100;9384;17;2016;1009384
2;200;9119;55;2016;2009119
3;300;9119;50;2016;3009119
4;300;9215;63;2016;3009215
5;300;8016;18;2016;3008016
6;400;9119;65;2016;4009119
7;400;42;25;2016;40042
8;500;9119;116;2016;5009119
9;600;9119;40;2016;6009119
10;900;5;169;2016;9005
11;900;8259;38;2016;9008259
12;1000;5;150;2016;10005
13;1000;7;35;2016;10007
14;1100;9459;117;2016;11009459
15;1200;9119;55;2016;12009119
16;1300;9119;65;2016;13009119
17;1500;9119;106;2016;15009119
18;1500;79;64;2016;150079
19;1500;9121;170;2016;150091211
20;1500;9098;55;2016;15009098
21;1500;9121;90;2016;150091212
22;3020;9119;26;2016;30209119
23;3040;9119;47;2016;30409119
24;3050;9119;40;2016;30509119
25;3050;9248;3;2016;30509248
26;3060;9186;45;2016;30609186
27;3060;9119;139;2016;306091191
28;3060;9770;15;2016;30609770
29;3060;9885;19;2016;30609885
30;3060;9119;25;2016;306091192
31;3090;9119;34;2016;30909119
32;3100;9119;92;2016;31009119
33;3100;9885;29;2016;31009885
34;3110;9121;116;2016;31109121
35;3110;52;78;2016;311052
36;3110;119;30;2016;3110119
37;3120;9119;8;2016;31209119
38;3130;9119;210;2016;313091191
39;3130;8288;14;2016;31308288
40;3130;8398;20;2016;31308398
41;3130;9119;60;2016;313091192
42;3130;71;30;2016;313071
43;3140;9185;19;2016;31409185
44;3150;9119;65;2016;31509119
45;3150;9687;7;2016;31509687
46;3160;9119;61;2016;31609119
47;3180;9119;59;2016;31809119
48;3180;9122;8;2016;31809122
49;3180;9168;8;2016;31809168
50;3240;9119;41;2016;32409119
51;3240;143;0;2016;3240143
52;6800;8366;36;2016;68008366
53;6800;9098;60;2016;68009098
54;6800;9119;60;2016;68009119
55;6800;9189;60;2016;68009189
56;6800;9885;35;2016;68009885
57;100;9384;13;2017;1009384
58;200;9119;66;2017;2009119
59;300;9119;50;2017;3009119
60;300;9215;67;2017;3009215
61;300;8016;21;2017;3008016
62;400;9119;65;2017;4009119
63;400;42;25;2017;40042
64;500;9119;120;2017;5009119
65;600;9119;42;2017;6009119
66;900;5;171;2017;9005
67;900;8259;41;2017;9008259
68;1000;5;160;2017;10005
69;1000;7;35;2017;10007
70;1100;9459;117;2017;11009459
71;1200;9119;65;2017;12009119
72;1300;9119;60;2017;13009119
73;1500;9119;105;2017;15009119
74;1500;79;62;2017;150079
75;1500;9121;170;2017;150091211
76;1500;9098;55;2017;15009098
77;1500;9121;90;2017;150091212
78;3020;9119;41;2017;30209119
79;3040;9119;73;2017;30409119
80;3050;9119;44;2017;30509119
81;3050;9248;9;2017;30509248
82;3060;9186;42;2017;30609186
83;3060;9119;139;2017;306091191
84;3060;9770;15;2017;30609770
85;3060;9885;19;2017;30609885
86;3060;9119;29;2017;306091192
87;3090;9119;41;2017;30909119
88;3100;9119;101;2017;31009119
89;3100;9885;30;2017;31009885
90;3110;9121;120;2017;31109121
91;3110;52;80;2017;311052
92;3110;119;30;2017;3110119
93;3120;9119;25;2017;31209119
94;3130;9119;200;2017;313091191
95;3130;8288;19;2017;31308288
96;3130;8398;18;2017;31308398
97;3130;9119;59;2017;313091192
98;3130;71;29;2017;313071
99;3140;9185;33;2017;31409185
100;3150;9119;64;2017;31509119
101;3150;9687;20;2017;31509687
102;3160;9119;56;2017;31609119
103;3180;9119;66;2017;31809119
104;3180;9122;16;2017;31809122
105;3180;9168;9;2017;31809168
106;3240;9119;49;2017;32409119
107;3240;143;3;2017;3240143
108;6800;8366;35;2017;68008366
109;6800;9098;60;2017;68009098
110;6800;9119;60;2017;68009119
111;6800;9189;59;2017;68009189
112;6800;9885;35;2017;68009885
113;100;9384;13;2018;1009384
114;200;9119;69;2018;2009119
115;300;9119;54;2018;3009119
116;300;9215;66;2018;3009215
117;300;8016;23;2018;3008016
118;400;9119;65;2018;4009119
119;400;42;17;2018;40042
120;500;9119;130;2018;5009119
121;600;9119;45;2018;6009119
122;900;5;169;2018;9005
123;900;8259;37;2018;9008259
124;1000;5;171;2018;10005
125;1000;7;38;2018;10007
126;1100;9459;117;2018;11009459
127;1200;9119;105;2018;12009119
128;1300;9119;75;2018;13009119
129;1500;9119;103;2018;15009119
130;1500;79;64;2018;150079
131;1500;9121;170;2018;150091211
132;1500;9098;55;2018;15009098
133;1500;9121;90;2018;150091212
134;3020;9119;16;2018;30209119
135;3040;9119;55;2018;30409119
136;3050;9119;39;2018;30509119
137;3050;9248;2;2018;30509248
138;3060;9186;43;2018;30609186
139;3060;9119;141;2018;306091191
140;3060;9770;18;2018;30609770
141;3060;9885;20;2018;30609885
142;3060;9119;25;2018;306091192
143;3090;9119;19;2018;30909119
144;3100;9119;101;2018;31009119
145;3100;9885;28;2018;31009885
146;3110;9121;118;2018;31109121
147;3110;52;80;2018;311052
148;3110;119;30;2018;3110119
149;3120;9119;8;2018;31209119
150;3130;9119;200;2018;313091191
151;3130;8288;14;2018;31308288
152;3130;8398;19;2018;31308398
153;3130;9119;60;2018;313091192
154;3130;71;29;2018;313071
155;3140;9185;21;2018;31409185
156;3150;9119;64;2018;31509119
157;3150;9687;12;2018;31509687
158;3160;9119;65;2018;31609119
159;3180;9119;66;2018;31809119
160;3180;9122;8;2018;31809122
161;3180;9168;6;2018;31809168
162;3240;9119;46;2018;32409119
163;3240;143;4;2018;3240143
164;6800;8366;35;2018;68008366
165;6800;9098;60;2018;68009098
166;6800;9119;60;2018;68009119
167;6800;9189;60;2018;68009189
168;6800;9885;35;2018;68009885
